paper_id,title,doi,alloy_system,has_composition,has_process,has_microstructure,has_property
P192,Formation of roll coating in cold rolling of titanium sheets,10.1016/j.proeng.2017.10.898,Ti-based,,,,
P193,Improvement of material performance of Inconel 718 formed by high deposition-rate laser metal deposition,10.1016/j.matdes.2016.03.006,Ti-based,,,,
P194,Microstructural and mechanical properties of Inconel 718 TIG weldments,10.1016/j.matpr.2017.11.544,Ti-based,,,,
P195,Microstructural and micromechanical characterization of IN718 theta shaped specimens built with electron beam melting,10.1016/j.actamat.2016.02.005,Ti-based,,,,
P196,Microstructural evolution and constitutive equations of Inconel 718 alloy under quasi-static and quasi-dynamic conditions,10.1016/j.matdes.2015.12.157,Ti-based,,,,
P197,Microstructural investigation of as-fabricated and heat-treated Inconel 625 and Inconel 718 fabricated by direct metal laser sintering contribution of Politecnico di Torino and Istituto Italiano di Tecnologia IIT di Torino,10.1016/j.mprp.2016.06.002,Ti-based,,,,
P198,Microstructure and directional fatigue behavior of Inconel 718 produced by selective laser melting,10.1016/j.prostr.2016.06.298,Ti-based,,,,
P199,Microstructure evolution mechanism during post-bond heat treatment of transient liquid phase bonded wrought IN718 superalloy An approach to fabricate boride-free joints,10.1016/j.jallcom.2017.06.206,Ti-based,,,,
P200,Microstructure evolution of IN718 alloy during the delta process,10.1016/j.proeng.2017.10.1137,Ti-based,,,,
P201,The effect of loading mode on fatigue crack initiation of IN718 superalloy,10.1016/j.prostr.2023.10.075,Ti-based,,,,
